"","Andrena_angustior_impressa","Andrena_djelfensis","Anthophora_dispar","Apis","Bibio_sp","Bombus_terrestris","Eristalis_tenax","Lasioglossum_interruptum","Lasioglossum_malachurum","Lasioglossum_transitorium_planulum","Mosca_1","Mosca_7","Oxythyrea_funesta","Pseudophilotes_panoptes","Scaeva_albomaculata"
"CAL",0,1,0,0,0,0,0,1,0,0,0,0,2,0,0
"ROF",1,0,1,40,1,4,0,0,0,2,0,0,0,0,1
"TVUF",0,0,0,3,0,0,0,0,1,0,0,0,0,1,0
"TVUH",0,0,0,16,0,0,1,0,0,0,1,1,0,0,0
