"","Euphorbia obtusifolia","Parolinea intermedia","Argyranthemum frutescencs","Convolvulus sp1 M_PL_050","Euphorbia canariensis","Lavandula buchii","Plocama pendula","Echium bonnetii","Periploca laevigata","Ceballosia fruticosa","Echium aculeatum","Fagonia albiflora","Lotus sp1 M_PL_050","Noechamaelea pulverulenta"
"Lasioglossum evylaeus",1,1,1,1,1,1,1,1,0,0,0,0,0,0
"Camponotus rufoglaucus",1,0,0,1,1,0,1,0,1,0,1,0,0,1
"Eucera gracilipes",0,1,1,1,0,1,0,1,0,0,0,1,1,0
"Sphecodes marginatus ",1,1,0,1,0,1,1,0,0,1,0,0,0,0
"Unidentified sp1 M_PL_050",1,1,1,1,1,0,0,0,0,0,0,0,0,0
"Unidentified sp2 M_PL_050",1,0,1,0,1,0,0,0,1,0,0,0,0,0
"Amegilla quadrifasciata",0,0,0,0,0,1,0,1,0,0,1,0,0,0
"Amegilla sp1 M_PL_050",0,1,0,1,0,1,0,0,0,0,0,0,0,0
"Anthophora orotavae",0,1,0,0,0,1,0,1,0,0,0,0,0,0
"Hylaeus sp1 M_PL_050",1,0,0,0,1,0,1,0,0,0,0,0,0,0
"Unidentified sp3 M_PL_050",0,1,1,1,0,0,0,0,0,0,0,0,0,0
"Unidentified sp4 M_PL_050",1,0,0,0,1,0,0,0,1,0,0,0,0,0
"Amegilla canifrons",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Apis mellifera",0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Lucilia sp1 M_PL_050",0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Unidentified sp5 M_PL_050",0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp6 M_PL_050",0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Unidentified sp7 M_PL_050",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Unidentified sp8 M_PL_050",0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Unidentified sp9 M_PL_050",0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Anthophora alluardii",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gallotia galloti",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Unidentified sp10 M_PL_050",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp11 M_PL_050",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp12 M_PL_050",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Unidentified sp13 M_PL_050",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp14 M_PL_050",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp15 M_PL_050",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp16 M_PL_050",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp17 M_PL_050",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp18 M_PL_050",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp19 M_PL_050",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp20 M_PL_050",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp21 M_PL_050",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp22 M_PL_050",1,0,0,0,0,0,0,0,0,0,0,0,0,0
