"","Cecropia schreberiana ","Guarea guidonia ","Schefflera morototoni ","Alchornea latifolia ","Dendropanax arboreus ","Ocotea floribunda ","Inga vera ","Ficus sp1 M_SD_006","Miconia prasina ","Musa acuminata ","Phytolacca rivinoides ","Tournefortia hisutissima ","Casearia sylvestris ","Citrus sinensis ","Coffea arabica ","Miconia laevigatta ","Momordica charantia ","Murraya paniculata ","Piper amalaga ","Roystonea borinquena ","Solanum rugosum "
"Spindalis portoricensis ",17,0,7,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1
"Loxigilla portoricensis ",4,13,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Vireo altiloquous ",5,5,0,3,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"Turdus plumbeus ",2,0,4,0,1,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
"Coereba flaveola ",5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyrannus dominicensis ",1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Nesospingus speculiferus",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Melanerpes portoricensis ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyrannus caudifasciatus ",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columba squamosa ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphonia musica ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icterus dominicensis ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Myarchus antillarum ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vireo flavirostris ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vireo latimeri ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
