"","Ficus sp1 M_SD_017","Pseudospondias longifolia","Elaeis guineensis","Tetrapleura tetraptera","Berlinia bracteosa","Pycnanthus angolensis","Unidentified sp1 M_SD_017","Xylopia sp1 M_SD_017","Detarium macrocarpum","Duboscia macrocarpa","Pentadesma butyracea","Milicia excelsa","Ongokea gore","Pentaclethra sp1 M_SD_017","Unidentified sp2 M_SD_017","Marantochloa sp1 M_SD_017"
"Mandrillus sphinx",1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1
"Cercocebus albigena",1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0
"Cercopithecus nictitans",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
"Cercopithecus cephus",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
"Gorilla gorilla",1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1
"Cercopithecus pogonias",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"Pan troglodytes",1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0
"Colobus satanas",0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0
