"","Daucus carota carota","Sonchus tenerrinus","Carpobrotus sp1 M_PL_058","Opuntia stricta","Cistus monspeliensis","Lavandula stoechas","Cistus salvifolius","Cistus albidus","Urospermum picrioides","Rosmarinus officinalis","Aetheorrina bulbosa","Galactites tomentosa","Eryngium campestre","Convolvulus althaeoides","Scabiosa stellata","Sedum sediforme","Thymelaea hirusta","Ruta chalepensis","Helichrysum stoechas","Psoralea bituminosa","Dorychnium pentaphylum","Alyssum maritimum","Helianthemum guttatum","Lathyrus clymenum","Equium sabulicola","Euphorbia segatalis","Allium ampeloprasum","Brassica fruticulosa","Dianthus caryophillus","Hypericum perfolatum","Linum sp1 M_PL_058","Vicea lutea"
"Andrena sp1 M_PL_058",10,51,4,1,19,3,17,15,13,1,4,1,5,1,1,3,1,6,0,1,0,1,1,0,0,0,0,0,0,0,0,1
"Apis mellifera",1,9,7,33,2,20,2,4,0,16,0,2,0,0,11,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mordellistena pumila",44,0,7,3,3,0,3,0,6,0,1,3,7,10,0,1,0,6,11,0,0,0,1,0,0,0,0,0,0,0,0,0
"Oedemera lurida",3,9,21,0,34,0,3,6,6,0,3,3,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
"Oxythyrea funesta ",0,2,20,6,14,1,14,6,1,1,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthidium sticticum",0,1,5,2,2,31,0,8,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
"Psilothrix sp1 M_PL_058",1,10,22,0,1,0,7,1,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp35 M_PL_058",29,1,1,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus terrestris",0,1,14,18,0,0,0,1,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oedemera flavipes",3,4,3,2,1,0,1,1,3,0,5,0,7,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Myrabilis quadripunctata",3,2,0,20,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sp1 M_PL_058",3,7,0,3,5,3,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"Mordella bipunctata",19,2,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halictus gemmeus",10,2,0,0,0,0,0,0,0,0,1,0,3,1,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp38 M_PL_058",0,0,8,0,1,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Criptocephalus sp1 M_PL_058",0,6,3,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp43 M_PL_058",0,0,0,0,6,3,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xylocopa sp1 M_PL_058",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halictus pyrenaicus",0,4,0,5,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colletes sp1 M_PL_058",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0
"Amegilla femorata",0,0,0,0,1,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile sp2 M_PL_058",0,0,1,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Plagiolepsis pigmaea",0,0,2,0,3,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Anthidium sp1 M_PL_058",0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
"Oedemera nobilis",0,0,2,0,0,0,4,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halictus sp1 M_PL_058",0,0,1,0,0,3,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Osmia sp1 M_PL_058",0,0,2,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Oedemera barbara",3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camponotus aethiops",1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus sp2 M_PL_058",4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
