"ID","Species","Interactions","Connectance","Type of interactions","Type of data","Reference","Locality of Studi","Latitude","Longitude"
"M_PL_002","107","196","0.07","Pollination","0","Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.","Cordón del Cepo, Chile","-33.283334","-70.266668"
"M_PL_008","49","106","0.25","Pollination","0","Dupont YL, Hansen DM and Olesen JM (2003) Structure of a plant-flower-visitor network in the high-altitude sub-alpine desert of Tenerife, Canary Islands. Ecography 26:301-310.","Tenerife, Canary Islands","28.216667","-16.633333"
"M_PL_009","142","242","0.09","Pollination","0","Elberling, H. & Olesen, J. M. 1999. The structure of a high latitude plant-pollinator system: The dominance of flies. Ecography 22:314-323.","Latnjajaure, Abisko, Sweden","68.35","18.5"
"M_PL_010","107","456","0.19","Pollination","0","Elberling & Olesen unpubl.","Zackenberg","74.5","-20.5"
"M_PL_011","27","52","0.29","Pollination","0","Olesen, J.M., Eskildsen, L.I. & Venkatasamy, S. (2002). Div. Distr., 8:181-192.","Mauritius Island","-20.348404","57.552152"
"M_PL_012","84","145","0.09","Pollination","0","Olesen unpubl.","Garajonay, Gomera, Spain","28.127842","-17.248908"
"M_PL_016","205","412","0.09","Pollination","0","Herrera, J. (1988) Pollination relatioships in southern spanish mediterranean shrublands. Journal of Ecology 76: 274-287.","Doñana Nat. Park, Spain","37.016667","-6.55"
"M_PL_019","125","264","0.08","Pollination","1","Inouye, D. W., and G. H. Pyke. 1988. Pollination biology in the Snowy Mountains of Australia: comparisons with montane Colorado, USA. Australian Journal of Ecology 13:191-210.","Snowy Mountains, Australia","-36.45","148.266667"
"M_PL_023","95","125","0.08","Pollination","0","Medan, D., N. H. Montaldo, M. Devoto, A. Mantese, V. Vasellati, and N. H. Bartoloni. 2002. Plant-pollinator relationships at two altitudes in the Andes of Mendoza, Argentina. Arctic Antarctic and Alpine Research 34:233-241.","Rio Blanco, Mendoza, Argentina","-33","-69.283333"
"M_PL_026","159","204","0.04","Pollination","0","McMullen, C. K. 1993. Flower-visiting insects of the Galapagos Islands. Pan-Pacific Entomologist 69:95-106","Galapagos","-0.5","-90.5"
"M_PL_027","78","120","0.11","Pollination","0","Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. AP.","Arthur's Pass, New Zealand","-42.95","171.566667"
"M_PL_028","180","374","0.07","Pollination","0","Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Cass.","Cass, New Zealand","-43.02823","171.78466"
"M_PL_029","167","346","0.06","Pollination","0","Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Craigieb.","Craigieburn, New Zealand","-43.099531","171.720224"
"M_PL_036","22","30","0.25","Pollination","0","Olesen unpubl.","Flores, Açores","39.466667","-31.227222"
"M_PL_042","18","25","0.35","Pollination","0","Philipp M, Böcher J, Siegismund HR, Nielsen LR (2006) Ecography 29:531-540. (Philipp, M., Böcher, J., Siegismund, H. R. and Nielsen, L. R. 2006. Structure of a plant-pollinator network on a pahoehoe lava desert of the Galápagos Islands. – Ecography 29: 531– 40.)","Puerto Villamil, Isabela Island, Galapagos","-0.949194","-90.977222"
"M_PL_045","43","63","0.14","Pollination","1","Lundgren R, Olesen JM (2005). The Dense and Highly Connected World of Greenland's Plants and Their Pollinators. Arc Antarc Alp Res 37:514-520.","Uummannaq Island, Greenland","71","-52"
"M_PL_050","49","86","0.18","Pollination","0","Stald, L., Valido, A. & Olesen, J. M. 2003. Struktur og dynamik i rum og tid at et bestøvningsnetværk på Tenerife, De Kanariske Øer. MSc-thesis, Univ. of Aarhus, Denmark.","Tenerife, Canary Islands","28.268611","-16.605556"
"M_PL_051","104","164","0.13","Pollination","1","Vázquez DP. 2002. Interactions among Introduced Ungulates, Plants, and Pollinators: A Field Study in the Temperate Forest of the Southern Andes. Ph.D. Dissertation. Department of Ecology and Evolutionary Biology, University of Tennessee, Knoxville.","Nahuel Huapi National Park, Argentina","-41.077069","-71.525206"
"M_PL_053","393","589","0.02","Pollination","0","Yamazaki, K. & Kato, M. 2003. Flowering phenology and anthophilous insect community in a grassland ecosystem at Mt. Yufu, Western Japan. Contributions from the Biological Laboratory, Kyoto University 29: 255-318.","Mt. Yufu, Japan","33.4","131.5"
"M_PL_055","259","431","0.03","Pollination","1","Kato & Miura (1996). Flowering phenology and anthophilous insect community at a threatened natural lowland marsh at Nakaikemi in Tsuruga, Japan. Kyoto University, Vol. 29: 1-48","Nakaikemi marsh, Fukui Prefecture, Japan","35.65","136.083333"
"M_PL_058","113","319","0.12","Pollination","1","Bartomeus, I., Vilà, M. & Santamaria, L., 2008. Contrasting effects of invasive plants in plant-pollinator networks. Oecologia 155: 761-770.","Parc Natural del Cap de Creus","42.2973","3.235217"
"M_PL_059","26","71","0.42","Pollination","1","Bezerra ELS, Machado ICS, Mello MAR. 2009. Pollination networks of oil-flowers: a tiny world within the smallest of all worlds. Journal of Animal Ecology 78:1096–1101.","Parque Nacional do Catimbau","-8.505","-37.201389"
