key, es, en
LABEL_ZIGGURAT_DISPLAY_LABELS_CONTROL, "Mostrar etiquetas", "Show labels"
LABEL_ZIGGURAT_FLIP_RESULT_CONTROL, "Invertir resultado", "Flip result"
LABEL_ZIGGURAT_ASPECT_RATIO_CONTROL, "Relación de aspecto", "Aspect ratio"
LABEL_ZIGGURAT_ALPHA_LEVEL_CONTROL, "Transparencia", "Alpha level"
LABEL_ZIGGURAT_ALPHA_LEVEL_LINK_CONTROL, "Transparencia", "Alpha level"
LABEL_ZIGGURAT_LINK_SIZE_CONTROL, "Tamaño de los enlaces", "Link size"
LABEL_ZIGGURAT_COREBOX_SIZE_CONTROL, "Tamaño del borde de los core box", "Shell box border size"
LABEL_ZIGGURAT_Y_DISPLACE_A_CONTROL, "Desplazamiento vertical clan A", "Vertical displacement for guild A"
LABEL_ZIGGURAT_Y_DISPLACE_B_CONTROL, "Desplazamiento vertical clan B", "Vertical displacement for guild B"
LABEL_ZIGGURAT_HEIGHT_EXPAND_CONTROL, "Expasión de altura", "Height expand"
LABEL_ZIGGURAT_KCORE2_TAIL_VERTICAL_SEPARATION_CONTROL, "Distancia cola/k-core 2", "Tail/k-shell 2 distance"
LABEL_ZIGGURAT_KCORE1_TAIL_DIST_TO_CORE_CONTROL_1, "Distancia cola/k-core 1 (1)", "Tail/k-shell 1 distance (1)"
LABEL_ZIGGURAT_KCORE1_TAIL_DIST_TO_CORE_CONTROL_2, "Distancia cola/k-core 1 (2)", "Tail/k-shell 1 distance (2)"
LABEL_ZIGGURAT_INNER_TAIL_VERTICAL_SEPARATION_CONTROL, "Separacion vertical interna en la cola", "Tail inner vertical separation"
LABEL_ZIGGURAT_GUILD_A_COLOR_1_CONTROL, "Color (1) del clan A", "Guild A color (1)"
LABEL_ZIGGURAT_GUILD_A_COLOR_2_CONTROL, "Color (2) del clan A", "Guild A color (2)"
LABEL_ZIGGURAT_GUILD_B_COLOR_1_CONTROL, "Color (1) del clan B", "Guild B color (1)"
LABEL_ZIGGURAT_GUILD_B_COLOR_2_CONTROL, "Color (2) del clan B", "Guild B color (2)"
LABEL_ZIGGURAT_LINKS_COLOR_CONTROL, "Color", "Colour"
LABEL_ZIGGURAT_KCOREMAX_LABEL_SIZE_CONTROL, "k-core máximo", "Maximum k-shell"
LABEL_ZIGGURAT_ZIGGURAT_LABEL_SIZE_CONTROL, "Ziggurat", "Ziggurat"
LABEL_ZIGGURAT_KCORE1_LABEL_SIZE_CONTROL, "k-core 1", "k-shell 1"
LABEL_ZIGGURAT_GENERAL_LABEL_SIZE_CONTROL, "General", "General"
LABEL_ZIGGURAT_COREBOX_LABEL_SIZE_CONTROL, "Cajas core", "Shell box"
LABEL_ZIGGURAT_LEGEND_LABEL_SIZE_CONTROL, "Leyenda", "Legend"
LABEL_ZIGGURAT_GUILD_A_LABEL_COLOR_CONTROL, "Clan A", "Guild A"
LABEL_ZIGGURAT_GUILD_B_LABEL_COLOR_CONTROL, "Clan B", "Guild B"
LABEL_ZIGGURAT_SVG_SCALE_FACTOR_CONTROL, "Factor de escala SVG", "SVG scale factor"
