"file";"LabelGuildA";"LabelGuildB";"ColorZigGuildA1";"ColorZigGuildA2";"ColorZigGuildB1";"ColorZigGuildB2"
"M_PL_003.csv";"Plant";"Pollinator";"#4169E1";"#00008B";"#F08080";"#FF0000"
"RA_HP_003.csv";"Plant";"Pollinator";"#4169E1";"#00008B";"#F08080";"#FF0000"
"red_sara.csv";"ERROR: max core is 1";"Choose a different file";"#4169E1";"#00008B";"#F08080";"#FF0000"
